#
# The comments following the number sign "#" list the East_Asian_Width property
# value, followed by the Unicode character name or names.
#
# Code points that have the value O and the East_Asian_Width property value N or
# Na are omitted.
#
# @missing: 0000..10FFFF; O

0C4A..0C4D     ; N  # N   TELUGU VOWEL SIGN O..TELUGU SIGN VIRAMA
0C55..0C56     ; N  # N   TELUGU LENGTH MARK..TELUGU AI LENGTH MARK
0C58..0C5A     ; N  # N   TELUGU LETTER TSA..TELUGU LETTER RRRA
0C5D           ; N  # N   TELUGU LETTER NAKAARA POLLU
0C60..0C63     ; N  # N   TELUGU LETTER VOCALIC RR..TELUGU VOWEL SIGN VOCALIC LL
0C66..0C6F     ; N  # N   TELUGU DIGIT ZERO..TELUGU DIGIT NINE
0C80..0C83     ; N  # N   KANNADA SIGN SPACING CANDRABINDU..KANNADA SIGN VISARGA
0C85..0C8C     ; N  # N   KANNADA LETTER A..KANNADA LETTER VOCALIC L
0C8E..0C90     ; N  # N   KANNADA LETTER E..KANNADA LETTER AI
0C92..0CA8     ; N  # N   KANNADA LETTER O..KANNADA LETTER NA
0CAA..0CB3     ; N  # N   KANNADA LETTER PA..KANNADA LETTER LLA
0CB5..0CB9     ; N  # N   KANNADA LETTER VA..KANNADA LETTER HA
0CBC..0CC4     ; N  # N   KANNADA SIGN NUKTA..KANNADA VOWEL SIGN VOCALIC RR
0CC6..0CC8     ; N  # N   KANNADA VOWEL SIGN E..KANNADA VOWEL SIGN AI
0CCA..0CCD     ; N  # N   KANNADA VOWEL SIGN O..KANNADA SIGN VIRAMA
0CD5..0CD6     ; N  # N   KANNADA LENGTH MARK..KANNADA AI LENGTH MARK
0CDD..0CDE     ; N  # N   KANNADA LETTER NAKAARA POLLU..KANNADA LETTER FA
0CE0..0CE3     ; N  # N   KANNADA LETTER VOCALIC RR..KANNADA VOWEL SIGN VOCALIC LL
0CE6..0CEF     ; N  # N   KANNADA DIGIT ZERO..KANNADA DIGIT NINE
0CF1..0CF3     ; N  # N   KANNADA SIGN JIHVAMULIYA..KANNADA SIGN COMBINING ANUSVARA ABOVE RIGHT
0D00..0D0C     ; N  # N   MALAYALAM SIGN COMBINING ANUSVARA ABOVE..MALAYALAM LETTER VOCALIC L
0D0E..0D10     ; N  # N   MALAYALAM LETTER E..MALAYALAM LETTER AI
0D12..0D44     ; N  # N   MALAYALAM LETTER O..MALAYALAM VOWEL SIGN VOCALIC RR
0D46..0D48     ; N  # N   MALAYALAM VOWEL SIGN E..MALAYALAM VOWEL SIGN AI
0D4A..0D4E     ; N  # N   MALAYALAM VOWEL SIGN O..MALAYALAM LETTER DOT REPH
0D54..0D57     ; N  # N   MALAYALAM LETTER CHILLU M..MALAYALAM AU LENGTH MARK
0D5F..0D63     ; N  # N   MALAYALAM LETTER ARCHAIC II..MALAYALAM VOWEL SIGN VOCALIC LL
0D66..0D6F     ; N  # N   MALAYALAM DIGIT ZERO..MALAYALAM DIGIT NINE
0D7A..0D7F     ; N  # N   MALAYALAM LETTER CHILLU NN..MALAYALAM LETTER CHILLU K
0D81..0D83     ; N  # N   SINHALA SIGN CANDRABINDU..SINHALA SIGN VISARGAYA
