#
# @missing: 0000..10FFFF; O

0F20..0F29     ; N  # TIBETAN DIGIT ZERO..TIBETAN DIGIT NINE
0F35           ; N  # TIBETAN MARK NGAS BZUNG NYI ZLA
0F37           ; N  # TIBETAN MARK NGAS BZUNG SGOR RTAGS
0F39           ; N  # TIBETAN MARK TSA -PHRU
0F3E..0F47     ; N  # TIBETAN SIGN YAR TSHES..TIBETAN LETTER JA
0F49..0F6C     ; N  # TIBETAN LETTER NYA..TIBETAN LETTER RRA
0F71..0F84     ; N  # TIBETAN VOWEL SIGN AA..TIBETAN MARK HALANTA
0F86..0F97     ; N  # TIBETAN SIGN LCI RTAGS..TIBETAN SUBJOINED LETTER JA
0F99..0FBC     ; N  # TIBETAN SUBJOINED LETTER NYA..TIBETAN SUBJOINED LETTER FIXED-FORM RA
0FC6           ; N  # TIBETAN SYMBOL PADMA GDAN
1000..1049     ; N  # MYANMAR LETTER KA..MYANMAR DIGIT NINE
1050..109D     ; N  # MYANMAR LETTER SHA..MYANMAR VOWEL SIGN AITON AI
10A0..10C5     ; N  # GEORGIAN CAPITAL LETTER AN..GEORGIAN CAPITAL LETTER HOE
10C7           ; N  # GEORGIAN CAPITAL LETTER YN
10CD           ; N  # GEORGIAN CAPITAL LETTER AEN
10D0..10FA     ; N  # GEORGIAN LETTER AN..GEORGIAN LETTER AIN
10FC..1248     ; N  # MODIFIER LETTER GEORGIAN NAR..ETHIOPIC SYLLABLE QWA
124A..124D     ; N  # ETHIOPIC SYLLABLE QWI..ETHIOPIC SYLLABLE QWE
1250..1256     ; N  # ETHIOPIC SYLLABLE QHA..ETHIOPIC SYLLABLE QHO
1258           ; N  # ETHIOPIC SYLLABLE QHWA
125A..125D     ; N  # ETHIOPIC SYLLABLE QHWI..ETHIOPIC SYLLABLE QHWE
1260..1288     ; N  # ETHIOPIC SYLLABLE BA..ETHIOPIC SYLLABLE XWA
128A..128D     ; N  # ETHIOPIC SYLLABLE XWI..ETHIOPIC SYLLABLE XWE
1290..12B0     ; N  # ETHIOPIC SYLLABLE NA..ETHIOPIC SYLLABLE KWA
12B2..12B5     ; N  # ETHIOPIC SYLLABLE KWI..ETHIOPIC SYLLABLE KWE
12B8..12BE     ; N  # ETHIOPIC SYLLABLE KXA..ETHIOPIC SYLLABLE KXO
12C0           ; N  # ETHIOPIC SYLLABLE KXWA
12C2..12C5     ; N  # ETHIOPIC SYLLABLE KXWI..ETHIOPIC SYLLABLE KXWE
12C8..12D6     ; N  # ETHIOPIC SYLLABLE WA..ETHIOPIC SYLLABLE PHARYNGEAL O
12D8..1310     ; N  # ETHIOPIC SYLLABLE ZA..ETHIOPIC SYLLABLE GWA
1312..1315     ; N  # ETHIOPIC SYLLABLE GWI..ETHIOPIC SYLLABLE GWE
1318..135A     ; N  # ETHIOPIC SYLLABLE GGA..ETHIOPIC SYLLABLE FYA
135D..135F     ; N  # ETHIOPIC COMBINING GEMINATION AND VOWEL LENGTH MARK..ETHIOPIC COMBINING GEMINATION MARK
1380..138F     ; N  # ETHIOPIC SYLLABLE SEBATBEIT MWA..ETHIOPIC SYLLABLE PWE
13A0..13F5     ; N  # CHEROKEE LETTER A..CHEROKEE LETTER MV
13F8..13FD     ; N  # CHEROKEE SMALL LETTER YE..CHEROKEE SMALL LETTER MV
1401..166C     ; N  # CANADIAN SYLLABICS E..CANADIAN SYLLABICS CARRIER TTSA
166F..167F     ; N  # CANADIAN SYLLABICS QAI..CANADIAN SYLLABICS BLACKFOOT W
1681..169A     ; N  # OGHAM LETTER BEITH..OGHAM LETTER PEITH
16A0..16EA     ; N  # RUNIC LETTER FEHU FEOH FE F..RUNIC LETTER X
16F1..16F8     ; N  # RUNIC LETTER K..RUNIC LETTER FRANKS CASKET AESC
1700..170C     ; N  # TAGALOG LETTER A..TAGALOG LETTER YA
170E..1714     ; N  # TAGALOG LETTER LA..TAGALOG SIGN VIRAMA
1720..1734     ; N  # HANUNOO LETTER A..HANUNOO SIGN PAMUDPOD
1740..1753     ; N  # BUHID LETTER A..BUHID VOWEL SIGN U
1760..176C     ; N  # TAGBANWA LETTER A..TAGBANWA LETTER YA
176E..1770     ; N  # TAGBANWA LETTER LA..TAGBANWA LETTER SA
1772..1773     ; N  # TAGBANWA VOWEL SIGN I..TAGBANWA VOWEL SIGN U
1780..17D3     ; N  # KHMER LETTER KA..KHMER SIGN BATHAMASAT
17D7           ; N  # KHMER SIGN LEK TOO
17DC..17DD     ; N  # KHMER SIGN AVAKRAHASANYA..KHMER SIGN ATTHACAN
17E0..17E9     ; N  # KHMER DIGIT ZERO..KHMER DIGIT NINE
180B..180D     ; N  # MONGOLIAN FREE VARIATION SELECTOR ONE..MONGOLIAN FREE VARIATION SELECTOR THREE
1810..1819     ; N  # MONGOLIAN DIGIT ZERO..MONGOLIAN DIGIT NINE
1820..1878     ; N  # MONGOLIAN LETTER A..MONGOLIAN LETTER CHA WITH TWO DOTS
1880..18AA     ; N  # MONGOLIAN LETTER ALI GALI ANUSVARA ONE..MONGOLIAN LETTER MANCHU ALI GALI LHA
18B0..18F5     ; N  # CANADIAN SYLLABICS OY..CANADIAN SYLLABICS CARRIER DENTAL S
1900..191E     ; N  # LIMBU VOWEL-CARRIER LETTER..LIMBU LETTER TRA
1920..192B     ; N  # LIMBU VOWEL SIGN A..LIMBU SUBJOINED LETTER WA
1930..193B     ; N  # LIMBU SMALL LETTER KA..LIMBU SIGN SA-I
1946..196D     ; N  # LIMBU DIGIT ZERO..TAI LE LETTER AI
1970..1974     ; N  # TAI LE LETTER TONE-2..TAI LE LETTER TONE-6
1980..19AB     ; N  # NEW TAI LUE LETTER HIGH QA..NEW TAI LUE LETTER LOW SUA
19B0..19C9     ; N  # NEW TAI LUE VOWEL SIGN VOWEL SHORTENER..NEW TAI LUE TONE MARK-2
19D0..19D9     ; N  # NEW TAI LUE DIGIT ZERO..NEW TAI LUE DIGIT NINE
1A00..1A1B     ; N  # BUGINESE LETTER KA..BUGINESE VOWEL SIGN AE
1A20..1A5E     ; N  # TAI THAM LETTER HIGH KA..TAI THAM CONSONANT SIGN SA
1A60..1A7C     ; N  # TAI THAM SIGN SAKOT..TAI THAM SIGN KHUEN-LUE KARAN
1A7F..1A89     ; N  # TAI THAM COMBINING CRYPTOGRAMMIC DOT..TAI THAM HORA DIGIT NINE
1A90..1A99     ; N  # TAI THAM THAM DIGIT ZERO..TAI THAM THAM DIGIT NINE
1AA7           ; N  # TAI THAM SIGN MAI YAMOK
1AB0..1AC0     ; N  # COMBINING DOUBLED CIRCUMFLEX ACCENT..COMBINING LATIN SMALL LETTER TURNED W BELOW
1B00..1B4B     ; N  # BALINESE SIGN ULU RICEM..BALINESE LETTER ASYURA SASAK
1B50..1B59     ; N  # BALINESE DIGIT ZERO..BALINESE DIGIT NINE
1B6B..1B73     ; N  # BALINESE MUSICAL SYMBOL COMBINING TEGEH..BALINESE MUSICAL SYMBOL COMBINING GONG
1B80..1BF3     ; N  # SUNDANESE SIGN PANYECEK..BATAK PANONGONAN
1C00..1C37     ; N  # LEPCHA LETTER KA..LEPCHA SIGN NUKTA
1C40..1C49     ; N  # LEPCHA DIGIT ZERO..LEPCHA DIGIT NINE
1C4D..1C7D     ; N  # LEPCHA LETTER TTA..OL CHIKI AHAD
1C80..1C88     ; N  # CYRILLIC SMALL LETTER ROUNDED VE..CYRILLIC SMALL LETTER UNBLENDED UK
1C90..1CBA     ; N  # GEORGIAN MTAVRULI CAPITAL LETTER AN..GEORGIAN MTAVRULI CAPITAL LETTER AIN
1CBD..1CBF     ; N  # GEORGIAN MTAVRULI CAPITAL LETTER AEN..GEORGIAN MTAVRULI CAPITAL LETTER LABIAL SIGN
1CD0..1CD2     ; N  # VEDIC TONE KARSHANA..VEDIC TONE PRENKHA
1CD4..1CFA     ; N  # VEDIC SIGN YAJURVEDIC MIDLINE SVARITA..VEDIC SIGN DOUBLE ANUSVARA ANTARGOMUKHA
1D00..1DF9     ; N  # LATIN LETTER SMALL CAPITAL A..COMBINING WIDE INVERTED BRIDGE BELOW
1DFB..1F15     ; N  # COMBINING DELETION MARK..GREEK SMALL LETTER EPSILON WITH DASIA AND OXIA
1F18..1F1D     ; N  # GREEK CAPITAL LETTER EPSILON WITH PSILI..GREEK CAPITAL LETTER EPSILON WITH DASIA AND OXIA
1F20..1F45     ; N  # GREEK SMALL LETTER ETA WITH PSILI..GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
1F48..1F4D     ; N  # GREEK CAPITAL LETTER OMICRON WITH PSILI..GREEK CAPITAL LETTER OMICRON WITH DASIA AND OXIA
1F50..1F57     ; N  # GREEK SMALL LETTER UPSILON WITH PSILI..GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI
1F59           ; N  # GREEK CAPITAL LETTER UPSILON WITH DASIA
1F5B           ; N  # GREEK CAPITAL LETTER UPSILON WITH DASIA AND VARIA
1F5D           ; N  # GREEK CAPITAL LETTER UPSILON WITH DASIA AND OXIA
1F5F..1F7D     ; N  # GREEK CAPITAL LETTER UPSILON WITH DASIA AND PERISPOMENI..GREEK SMALL LETTER OMEGA WITH OXIA
1F80..1FB4     ; N  # GREEK SMALL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI..GREEK SMALL LETTER ALPHA WITH OXIA AND YPOGEGRAMMENI
1FB6..1FBC     ; N  # GREEK SMALL LETTER ALPHA WITH PERISPOMENI..GREEK CAPITAL LETTER ALPHA WITH PROSGEGRAMMENI
1FBE           ; N  # GREEK PROSGEGRAMMENI
1FC2..1FC4     ; N  # GREEK SMALL LETTER ETA WITH VARIA AND YPOGEGRAMMENI..GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI
1FC6..1FCC     ; N  # GREEK SMALL LETTER ETA WITH PERISPOMENI..GREEK CAPITAL LETTER ETA WITH PROSGEGRAMMENI
1FD0..1FD3     ; N  # GREEK SMALL LETTER IOTA WITH VRACHY..GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
1FD6..1FDB     ; N  # GREEK SMALL LETTER IOTA WITH PERISPOMENI..GREEK CAPITAL LETTER IOTA WITH OXIA
1FE0..1FEC     ; N  # GREEK SMALL LETTER UPSILON WITH VRACHY..GREEK CAPITAL LETTER RHO WITH DASIA
1FF2..1FF4     ; N  # GREEK SMALL LETTER OMEGA WITH VARIA AND YPOGEGRAMMENI..GREEK SMALL LETTER OMEGA WITH OXIA AND YPOGEGRAMMENI
1FF6..1FFC     ; N  # GREEK SMALL LETTER OMEGA WITH PERISPOMENI..GREEK CAPITAL LETTER OMEGA WITH PROSGEGRAMMENI
2071           ; N  # SUPERSCRIPT LATIN SMALL LETTER I
